incident_datetime,Incident_count
2018-06-20,168
2018-06-21,244
2018-06-22,244
2018-06-23,204
2018-06-24,200
2018-06-25,230
2018-06-26,206
2018-06-27,218
2018-06-28,222
2018-06-29,226
2018-06-30,192
2018-07-01,126
2018-07-02,122
2018-07-03,87
2018-07-04,109
2018-07-05,124
2018-07-06,73
2018-07-07,96
2018-07-08,95
2018-07-09,94
2018-07-10,89
2018-07-11,85
2018-07-12,110
2018-07-13,121
2018-07-14,97
2018-07-15,80
2018-07-16,76
2018-07-17,157
2018-07-18,93
2018-07-19,89
2018-07-20,87
2018-07-21,86
2018-07-22,89
2018-07-23,109
2018-07-24,89
2018-07-25,87
2018-07-26,97
2018-07-27,103
2018-07-28,108
2018-07-29,78
2018-07-30,81
2018-07-31,90
2018-08-01,91
2018-08-02,108
2018-08-03,89
2018-08-04,84
2018-08-05,104
2018-08-06,91
2018-08-07,84
2018-08-08,98
2018-08-09,68
2018-08-10,123
2018-08-11,93
2018-08-12,100
2018-08-13,99
2018-08-14,102
2018-08-15,95
2018-08-16,79
2018-08-17,95
2018-08-18,107
2018-08-19,89
2018-08-20,78
2018-08-21,97
2018-08-22,100
2018-08-23,119
2018-08-24,116
2018-08-25,145
2018-08-26,117
2018-08-27,108
2018-08-28,117
2018-08-29,138
2018-08-30,113
2018-08-31,103
2018-09-01,87
2018-09-02,80
2018-09-03,106
2018-09-04,107
2018-09-05,87
2018-09-06,95
2018-09-07,101
2018-09-08,115
2018-09-09,101
2018-09-10,96
2018-09-11,123
2018-09-12,106
2018-09-13,117
2018-09-14,143
2018-09-15,116
2018-09-16,133
2018-09-17,112
2018-09-18,105
2018-09-19,105
2018-09-20,103
2018-09-21,134
2018-09-22,140
2018-09-23,101
2018-09-24,113
2018-09-25,93
2018-09-26,121
2018-09-27,137
2018-09-28,139
2018-09-29,114
2018-09-30,102
2018-10-01,143
2018-10-02,110
2018-10-03,111
2018-10-04,86
2018-10-05,132
2018-10-06,138
2018-10-07,112
2018-10-08,121
2018-10-09,113
2018-10-10,105
2018-10-11,104
2018-10-12,120
2018-10-13,159
2018-10-14,112
2018-10-15,124
2018-10-16,124
2018-10-17,98
2018-10-18,91
2018-10-19,122
2018-10-20,104
2018-10-21,102
2018-10-22,130
2018-10-23,119
2018-10-24,108
2018-10-25,129
2018-10-26,133
2018-10-27,138
2018-10-28,117
2018-10-29,146
2018-10-30,146
2018-10-31,113
2018-11-01,147
2018-11-02,140
2018-11-03,120
2018-11-04,143
2018-11-05,119
2018-11-06,108
2018-11-07,84
2018-11-08,82
2018-11-09,115
2018-11-10,138
2018-11-11,126
2018-11-12,122
2018-11-13,141
2018-11-14,113
2018-11-15,117
2018-11-16,167
2018-11-17,156
2018-11-18,194
2018-11-19,193
2018-11-20,183
2018-11-21,128
2018-11-22,87
2018-11-23,111
2018-11-24,102
2018-11-25,140
2018-11-26,110
2018-11-27,103
2018-11-28,117
2018-11-29,123
2018-11-30,124
2018-12-01,204
2018-12-02,132
2018-12-03,90
2018-12-04,116
2018-12-05,130
2018-12-06,156
2018-12-07,173
2018-12-08,146
2018-12-09,194
2018-12-10,122
2018-12-11,111
2018-12-12,136
2018-12-13,162
2018-12-14,139
2018-12-15,152
2018-12-16,121
2018-12-17,109
2018-12-18,132
2018-12-19,115
2018-12-20,113
2018-12-21,114
2018-12-22,109
2018-12-23,136
2018-12-24,149
2018-12-25,100
2018-12-26,100
2018-12-27,146
2018-12-28,150
2018-12-29,150
2018-12-30,140
2018-12-31,184
2019-01-01,162
2019-01-02,140
2019-01-03,135
2019-01-04,214
2019-01-05,142
2019-01-06,143
2019-01-07,127
2019-01-08,125
2019-01-09,136
2019-01-10,113
2019-01-11,143
2019-01-12,154
2019-01-13,130
2019-01-14,143
2019-01-15,171
2019-01-16,138
2019-01-17,146
2019-01-18,163
2019-01-19,157
2019-01-20,104
2019-01-21,112
2019-01-22,167
2019-01-23,150
2019-01-24,145
2019-01-25,238
2019-01-26,164
2019-01-27,164
2019-01-28,142
2019-01-29,121
2019-01-30,328
2019-01-31,143
2019-02-01,171
2019-02-02,138
2019-02-03,204
2019-02-04,137
2019-02-05,150
2019-02-06,198
2019-02-07,142
2019-02-08,160
2019-02-09,150
2019-02-10,134
2019-02-11,121
2019-02-12,93
2019-02-13,125
2019-02-14,132
2019-02-15,127
2019-02-16,121
2019-02-17,118
2019-02-18,113
2019-02-19,128
2019-02-20,114
2019-02-21,119
2019-02-22,126
2019-02-23,138
2019-02-24,154
2019-02-25,170
2019-02-26,140
2019-02-27,136
2019-02-28,157
2019-03-01,173
2019-03-02,187
2019-03-03,169
2019-03-04,143
2019-03-05,208
2019-03-06,132
2019-03-07,157
2019-03-08,143
2019-03-09,162
2019-03-10,175
2019-03-11,125
2019-03-12,122
2019-03-13,106
2019-03-14,142
2019-03-15,142
2019-03-16,152
2019-03-17,130
2019-03-18,123
2019-03-19,137
2019-03-20,129
2019-03-21,129
2019-03-22,209
2019-03-23,170
2019-03-24,145
2019-03-25,140
2019-03-26,134
2019-03-27,117
2019-03-28,127
2019-03-29,177
2019-03-30,143
2019-03-31,104
2019-04-01,118
2019-04-02,138
2019-04-03,135
2019-04-04,129
2019-04-05,136
2019-04-06,147
2019-04-07,133
