Date,Ball_Minimum temperature (°C),Ball_Maximum temperature (°C),Ball_Direction of maximum wind gust,Ball_Speed of maximum wind gust (km/h)
2022-03-21,9.0,29.5,SSW,35.0
2022-03-22,10.8,21.7,WSW,41.0
2022-03-23,9.1,17.9,S,41.0
2022-03-24,5.7,19.7,SSE,33.0
2022-03-25,7.8,19.5,ESE,43.0
2022-03-26,10.5,25.4,ESE,46.0
2022-03-27,8.4,26.1,N,50.0
2022-03-28,14.8,24.6,SE,37.0
2022-03-29,12.4,22.9,ESE,41.0
2022-03-30,10.5,19.0,SSE,59.0
2022-03-31,9.1,16.9,S,81.0
2022-02-01,14.8,22.2,SSW,52.0
2022-02-02,8.6,19.1,S,46.0
2022-02-03,8.9,17.2,S,50.0
2022-02-04,9.6,22.6,SE,48.0
2022-02-05,11.7,23.9,ESE,43.0
2022-02-06,10.9,26.9,ESE,44.0
2022-02-07,10.6,28.0,ESE,43.0
2022-02-08,10.7,28.1,NNE,46.0
2022-02-09,16.2,28.9,NNW,44.0
2022-02-10,12.7,24.0,SSE,41.0
2022-02-11,9.2,20.4,SSE,57.0
2022-02-12,11.6,27.9,SSE,48.0
2022-02-13,16.5,32.0,N,65.0
2022-02-14,14.6,33.9,N,46.0
2022-02-15,13.9,27.8,SE,41.0
2022-02-16,13.6,29.0,ESE,33.0
2022-02-17,12.5,23.1,SW,35.0
2022-02-18,10.1,20.6,SSW,46.0
2022-02-19,7.8,26.5,SSE,43.0
2022-02-20,6.0,24.9,NW,46.0
2022-02-21,6.4,19.5,S,43.0
2022-02-22,10.4,26.7,ESE,43.0
2022-02-23,9.4,30.2,NNE,39.0
2022-02-24,16.7,28.2,SE,44.0
2022-02-25,13.0,23.5,SE,56.0
2022-02-26,14.1,26.9,ESE,50.0
2022-02-27,15.3,27.3,SE,44.0
2022-02-28,16.1,26.9,SE,43.0
2022-01-01,18.0,34.3,W,50.0
2022-01-02,19.4,31.3,S,43.0
2022-01-03,12.4,23.0,SSE,52.0
2022-01-04,11.6,19.3,SSE,46.0
2022-01-05,13.9,25.0,E,50.0
2022-01-06,15.2,25.9,NNE,41.0
2022-01-07,15.8,24.2,S,46.0
2022-01-08,14.3,21.3,S,33.0
2022-01-09,11.3,26.7,SE,35.0
2022-01-10,11.4,32.0,ESE,44.0
2022-01-11,15.6,27.6,ESE,57.0
2022-01-12,15.4,26.9,ESE,57.0
2022-01-13,16.8,30.5,NNE,57.0
2022-01-14,17.8,29.1,N,48.0
2022-01-15,14.5,22.6,SSW,37.0
2022-01-16,9.7,32.0,W,35.0
2022-01-17,13.9,25.1,SSW,41.0
2022-01-18,9.2,19.9,SE,54.0
2022-01-19,11.7,24.3,SE,65.0
2022-01-20,11.3,26.9,ESE,52.0
2022-01-21,14.2,29.7,ESE,50.0
2022-01-22,14.9,30.6,E,44.0
2022-01-23,15.8,31.3,ESE,39.0
2022-01-24,16.7,32.5,NNE,41.0
2022-01-25,18.5,33.7,ESE,44.0
2022-01-26,18.8,33.9,NNW,56.0
2022-01-27,19.6,30.7,NNW,63.0
2022-01-28,19.8,29.3,NNE,54.0
2022-01-29,15.0,22.1,SE,52.0
2022-01-30,15.2,27.8,SE,44.0
2022-01-31,15.5,32.1,NNW,43.0
2021-12-01,17.1,30.5,NW,57.0
2021-12-02,12.9,29.8,NNW,69.0
2021-12-03,6.1,20.1,SSE,37.0
2021-12-04,6.7,17.3,SSW,50.0
2021-12-05,5.1,20.0,SE,54.0
2021-12-06,7.5,25.2,N,56.0
2021-12-07,10.8,16.2,SSW,44.0
2021-12-08,4.3,14.8,S,52.0
2021-12-09,7.1,16.1,SSE,61.0
2021-12-10,6.0,17.4,SSE,50.0
2021-12-11,8.7,19.2,ESE,41.0
2021-12-12,7.5,26.2,SE,35.0
2021-12-13,12.9,29.1,N,50.0
2021-12-14,10.9,27.7,SSE,37.0
2021-12-15,11.3,19.8,SSE,35.0
2021-12-16,7.1,21.2,S,37.0
2021-12-17,5.5,27.7,NW,39.0
2021-12-18,18.0,30.3,W,48.0
2021-12-19,9.7,17.4,W,76.0
2021-12-20,4.1,25.2,WNW,44.0
2021-12-21,8.5,24.9,S,39.0
2021-12-22,10.5,21.4,SSE,41.0
2021-12-23,8.6,22.9,SE,37.0
2021-12-24,9.5,28.8,S,43.0
2021-12-25,12.0,24.2,S,44.0
2021-12-26,10.2,18.6,SSE,61.0
2021-12-27,9.0,19.2,SSE,70.0
2021-12-28,9.7,23.1,SE,57.0
2021-12-29,10.6,28.4,ESE,41.0
2021-12-30,8.3,32.7,W,37.0
2021-12-31,13.6,35.5,NNW,57.0
2021-11-01,3.6,22.4,E,31.0
2021-11-02,7.4,26.2,N,56.0
2021-11-03,17.3,18.6,N,61.0
2021-11-04,9.1,17.9,SE,48.0
2021-11-05,8.7,24.0,E,46.0
2021-11-06,13.7,20.8,NW,56.0
2021-11-07,9.8,14.0,ESE,33.0
2021-11-08,5.0,14.1,SSE,31.0
2021-11-09,3.3,17.6,W,28.0
2021-11-10,6.7,14.3,SSE,39.0
2021-11-11,3.9,14.4,SE,56.0
2021-11-12,7.6,12.0,SE,74.0
2021-11-13,7.0,12.7,SSE,44.0
2021-11-14,1.0,11.6,SW,76.0
2021-11-15,2.9,11.3,SSW,57.0
2021-11-16,3.9,11.4,SSW,28.0
2021-11-17,2.4,18.3,ENE,26.0
2021-11-18,7.8,23.8,NNW,70.0
2021-11-19,8.9,15.6,ESE,39.0
2021-11-20,7.5,17.1,ESE,39.0
2021-11-21,5.2,16.8,ESE,46.0
2021-11-22,9.0,23.3,E,48.0
2021-11-23,13.0,21.4,NNW,46.0
2021-11-24,14.0,25.6,NNW,31.0
2021-11-25,12.4,13.9,ESE,52.0
2021-11-26,7.4,17.2,E,59.0
2021-11-27,8.5,17.7,ENE,69.0
2021-11-28,8.2,20.7,ENE,44.0
2021-11-29,6.3,25.9,ENE,35.0
2021-11-30,12.4,28.3,NW,35.0
2021-10-01,10.4,17.5,N,30.0
2021-10-02,10.3,17.0,SSW,35.0
2021-10-03,6.7,14.9,NW,43.0
2021-10-04,5.1,12.9,WNW,76.0
2021-10-05,6.7,14.4,W,54.0
2021-10-06,1.1,17.6,NW,65.0
2021-10-07,4.5,12.4,SW,61.0
2021-10-08,1.7,17.5,NNW,50.0
2021-10-09,5.3,19.8,N,39.0
2021-10-10,3.9,13.1,S,48.0
2021-10-11,0.7,12.7,ESE,37.0
2021-10-12,4.4,16.2,ESE,41.0
2021-10-13,9.7,16.8,NNE,44.0
2021-10-14,6.1,13.5,NW,46.0
2021-10-15,3.9,12.1,SW,57.0
2021-10-16,7.6,12.5,SW,50.0
2021-10-17,6.7,15.1,NNW,31.0
2021-10-18,6.6,15.7,SW,37.0
2021-10-19,6.5,14.8,SE,44.0
2021-10-20,6.1,21.0,E,50.0
2021-10-21,12.9,22.4,N,54.0
2021-10-22,8.8,22.0,N,48.0
2021-10-23,9.9,14.8,SSW,43.0
2021-10-24,6.0,13.1,S,41.0
2021-10-25,5.8,13.0,SSE,44.0
