Date,Ball_Direction of maximum wind gust,Ball_Maximum temperature (°C),Ball_Minimum temperature (°C),Ball_Speed of maximum wind gust (km/h),Fern_Direction of maximum wind gust,Fern_Maximum temperature (°C),Fern_Minimum temperature (°C),Fern_Speed of maximum wind gust (km/h),Wang_Direction of maximum wind gust,Wang_Maximum temperature (°C),Wang_Minimum temperature (°C),Wang_Speed of maximum wind gust (km/h)
2020-02-13,SE,29.9,16.6,57.0,NW,11.9,5.5,26.0,N,34.4,11.8,41.0
2020-02-14,SW,29.5,17.5,56.0,NNW,11.6,7.2,30.0,NE,34.1,18.5,59.0
2020-02-15,S,18.9,15.8,41.0,NW,9.7,5.7,15.0,WSW,22.4,18.5,50.0
2020-02-16,SE,22.2,12.2,50.0,NW,12.1,6.9,19.0,SSE,23.2,13.6,28.0
2020-02-17,SE,28.0,12.6,44.0,N,12.8,6.4,20.0,N,26.9,15.2,48.0
2020-02-18,W,22.3,15.8,70.0,NNE,7.3,7.0,39.0,WNW,23.4,13.2,33.0
2020-02-19,S,18.0,11.0,56.0,NNW,6.5,3.1,13.0,W,30.5,12.5,43.0
2020-02-20,S,18.1,9.7,41.0,WSW,6.0,3.4,19.0,SSW,32.8,14.1,28.0
2020-02-21,S,18.0,9.4,48.0,SSW,8.1,3.8,20.0,WNW,31.7,18.0,35.0
2020-02-22,SE,22.4,9.3,46.0,S,7.5,4.6,13.0,SSW,33.2,16.9,41.0
2020-02-23,NW,31.6,7.7,52.0,ESE,8.1,3.7,20.0,WSW,28.8,14.8,50.0
2020-02-24,N,28.9,13.2,43.0,NW,12.4,2.2,13.0,SW,26.0,12.8,43.0
2020-02-25,NW,29.8,16.8,56.0,N,12.4,5.8,19.0,SSW,28.7,8.8,24.0
2020-02-26,SW,17.8,11.4,50.0,NE,13.4,7.2,19.0,NNE,32.8,11.2,30.0
2020-02-27,None,16.5,3.6,0.0,N,13.3,8.5,44.0,WSW,36.6,13.3,43.0
2020-02-28,WSW,17.6,8.7,43.0,NNE,14.9,9.7,44.0,WSW,38.1,14.3,39.0
2020-02-29,SSE,23.9,9.9,28.0,NNE,13.0,10.8,69.0,NNW,41.2,13.6,41.0
2020-01-01,WSW,25.9,7.4,41.0,NW,8.3,3.3,37.0,N,40.0,20.8,46.0
2020-01-02,ESE,27.2,8.6,39.0,N,17.6,13.7,43.0,SW,34.8,21.6,50.0
2020-01-03,N,34.9,10.9,43.0,NNE,17.1,12.9,39.0,NW,35.1,22.0,63.0
2020-01-04,S,24.4,17.1,56.0,NW,15.5,9.5,20.0,NNW,32.0,19.0,31.0
2020-01-05,SSE,14.1,9.2,57.0,WSW,11.0,8.8,30.0,N,37.3,10.3,41.0
2020-01-06,SE,18.6,9.2,54.0,SW,12.2,7.6,19.0,WSW,33.8,19.6,80.0
2020-01-07,SE,21.7,12.8,54.0,SE,12.5,8.3,11.0,WNW,23.3,12.5,44.0
2020-01-08,SE,26.6,12.9,52.0,N,13.4,5.7,43.0,WNW,27.6,2.7,35.0
2020-01-09,SE,33.0,14.5,46.0,W,12.5,6.4,31.0,NNE,29.3,14.4,39.0
2020-01-10,WNW,29.0,18.1,72.0,NNE,11.4,6.5,43.0,NW,25.9,16.6,43.0
2020-01-11,S,18.9,10.0,50.0,S,9.9,7.6,37.0,SSW,18.9,12.4,43.0
2020-01-12,SSE,22.1,9.0,56.0,SW,10.1,6.1,22.0,WSW,19.4,5.1,37.0
2020-01-13,ESE,29.9,9.0,56.0,NW,11.8,6.8,17.0,WSW,22.1,3.3,39.0
2020-01-14,ESE,34.1,15.7,44.0,NW,12.7,8.9,33.0,NNW,26.4,3.6,44.0
2020-01-15,W,35.1,20.8,59.0,NNW,15.8,8.6,22.0,N,28.9,5.3,28.0
2020-01-16,SSE,20.5,12.1,54.0,SW,12.2,8.8,13.0,NNE,30.6,7.0,28.0
2020-01-17,SE,17.1,7.6,59.0,ESE,13.9,5.8,11.0,NNE,24.6,12.6,54.0
2020-01-18,SE,28.1,10.9,54.0,NNW,15.7,7.3,15.0,NNW,27.1,16.5,33.0
2020-01-19,SE,29.7,13.1,57.0,NW,17.2,9.2,15.0,WSW,25.0,12.0,35.0
2020-01-20,SSE,19.5,15.4,48.0,NNE,16.8,11.1,28.0,SSW,27.2,5.8,30.0
2020-01-21,SSW,24.3,10.6,35.0,NNE,15.0,12.5,46.0,ESE,27.9,9.5,30.0
2020-01-22,N,29.4,11.8,83.0,NW,15.4,8.7,24.0,NNE,28.6,7.6,31.0
2020-01-23,WNW,18.7,10.2,63.0,NW,17.4,9.6,22.0,N,30.0,8.4,39.0
2020-01-24,WNW,20.5,5.9,37.0,NNE,17.2,10.5,37.0,W,31.3,11.2,57.0
2020-01-25,NW,26.5,8.3,39.0,N,16.0,13.5,43.0,NW,24.6,14.4,46.0
2020-01-26,WSW,24.2,11.4,35.0,NW,15.4,10.2,33.0,NW,13.5,9.8,56.0
2020-01-27,S,25.4,9.9,37.0,NW,9.7,4.3,37.0,W,15.6,8.5,52.0
2020-01-28,WSW,27.1,10.0,35.0,WSW,9.9,2.9,39.0,WSW,20.8,10.0,44.0
2020-01-29,ESE,32.6,12.1,33.0,NW,9.4,3.0,37.0,S,24.9,6.5,43.0
2020-01-30,N,37.2,13.1,52.0,NNW,5.6,4.0,30.0,SW,26.3,7.4,28.0
2020-01-31,NNW,39.4,18.7,93.0,WSW,9.2,2.1,22.0,NE,27.2,9.6,31.0
2019-12-01,NNW,14.6,5.6,52.0,SW,9.2,4.8,31.0,SSE,27.0,15.1,46.0
2019-12-02,WSW,11.7,5.0,57.0,SE,14.1,8.3,17.0,ENE,28.3,9.4,24.0
2019-12-03,W,19.3,4.8,61.0,NW,21.6,7.8,28.0,WNW,29.3,8.6,44.0
2019-12-04,W,20.7,8.4,50.0,NW,21.7,13.4,24.0,NNE,23.5,-1.0,31.0
2019-12-05,WSW,20.4,4.3,57.0,E,20.1,9.3,19.0,ESE,23.9,3.9,17.0
2019-12-06,WSW,18.2,8.7,46.0,NNE,23.6,11.2,57.0,N,21.1,10.7,30.0
2019-12-07,SSW,21.4,5.0,35.0,N,17.6,12.6,46.0,SSW,22.4,10.6,30.0
2019-12-08,SE,28.8,6.7,26.0,NW,21.7,8.8,31.0,SE,22.3,3.8,24.0
2019-12-09,W,34.4,14.1,56.0,NW,18.5,9.3,39.0,SW,23.0,2.1,31.0
2019-12-10,S,20.3,10.3,44.0,SSW,11.5,6.3,30.0,S,25.5,3.2,24.0
2019-12-11,SSE,21.9,8.7,44.0,E,11.9,6.0,15.0,ESE,27.2,3.6,20.0
2019-12-12,SW,17.3,9.5,44.0,SE,16.2,6.6,20.0,SE,21.6,8.0,33.0
2019-12-13,SW,19.3,6.9,41.0,NNE,20.4,7.0,20.0,SSE,20.5,11.5,44.0
2019-12-14,WSW,20.6,10.1,35.0,SE,17.8,10.3,17.0,S,22.3,0.7,28.0
2019-12-15,W,21.4,10.8,44.0,ESE,20.3,9.2,17.0,ESE,23.0,1.3,30.0
2019-12-16,SSW,24.9,9.1,37.0,E,22.6,13.4,26.0,E,24.0,2.7,30.0
2019-12-17,SSE,30.7,10.7,35.0,NE,25.6,17.3,31.0,NNE,26.7,7.0,41.0
2019-12-18,NNW,30.4,12.4,41.0,NNE,25.6,19.3,44.0,NNE,29.1,8.7,46.0
2019-12-19,SE,30.1,16.0,41.0,ESE,14.9,7.8,31.0,WNW,23.1,15.9,56.0
2019-12-20,N,43.5,12.7,61.0,ESE,21.6,6.7,28.0,NNW,23.4,13.6,35.0
2019-12-21,S,20.1,13.6,52.0,None,25.3,13.5,0.0,N,22.1,9.8,28.0
2019-12-22,SE,23.4,6.3,48.0,NE,23.0,19.3,43.0,NNE,28.4,4.8,35.0
2019-12-23,SE,27.1,8.6,41.0,E,12.8,9.9,22.0,WSW,22.9,13.3,63.0
2019-12-24,SSE,26.6,9.9,41.0,ESE,14.7,10.1,24.0,SW,21.4,3.2,28.0
2019-12-25,SSW,30.6,12.2,46.0,SW,19.2,10.7,15.0,NNE,26.1,1.3,24.0
2019-12-26,SSE,26.7,11.5,44.0,NW,16.4,8.1,20.0,SW,27.6,5.3,46.0
2019-12-27,SE,35.0,10.4,50.0,WSW,10.9,7.9,37.0,SSW,23.1,6.2,28.0
2019-12-28,WNW,36.8,17.5,44.0,WNW,10.7,3.9,24.0,WSW,25.6,2.1,31.0
2019-12-29,NNW,38.5,15.4,54.0,NW,13.0,7.1,22.0,W,24.7,1.8,43.0
2019-12-30,NW,39.9,18.1,80.0,N,14.0,8.0,19.0,SSW,23.7,3.7,50.0
2019-12-31,S,21.7,10.9,61.0,NE,18.9,8.3,39.0,WNW,25.3,6.0,26.0
2019-11-01,N,28.5,16.0,65.0,NE,34.7,24.8,35.0,NNE,28.2,1.7,28.0
2019-11-02,W,17.4,12.6,54.0,N,32.4,23.2,33.0,WNW,29.9,2.3,39.0
2019-11-03,WNW,19.7,11.6,39.0,N,33.3,24.1,33.0,W,32.6,4.7,35.0
2019-11-04,WSW,12.7,2.9,63.0,ESE,29.9,15.4,19.0,WNW,15.8,6.5,35.0
2019-11-05,NW,16.3,0.2,37.0,S,27.1,15.2,20.0,SW,14.3,0.9,24.0
2019-11-06,NNW,14.8,6.7,69.0,WSW,14.2,8.5,31.0,SSE,16.1,0.4,24.0
2019-11-07,W,13.2,6.8,56.0,ENE,20.1,7.1,17.0,N,18.4,-0.7,20.0
2019-11-08,SSW,11.8,6.1,61.0,WNW,22.8,9.3,24.0,N,19.3,0.5,37.0
2019-11-09,W,10.8,2.9,52.0,S,24.8,13.0,15.0,NNE,17.3,7.1,43.0
2019-11-10,WSW,14.4,6.9,39.0,WSW,23.7,14.4,33.0,WSW,16.6,5.5,43.0
2019-11-11,N,26.0,3.4,50.0,SW,21.5,13.7,24.0,WSW,16.3,0.1,30.0
2019-11-12,W,13.7,7.2,70.0,WSW,14.5,11.4,30.0,WSW,15.9,1.8,31.0
2019-11-13,W,14.4,4.2,52.0,SE,16.6,7.7,20.0,WSW,19.2,2.4,17.0
2019-11-14,WSW,17.9,7.4,35.0,E,20.1,7.9,26.0,W,22.1,2.0,50.0
2019-11-15,W,16.2,8.2,48.0,E,20.8,9.7,31.0,W,17.5,10.5,41.0
2019-11-16,WSW,13.6,4.0,35.0,E,26.4,10.5,28.0,WSW,19.0,0.2,22.0
2019-11-17,SSW,15.4,5.7,35.0,NW,26.4,13.6,20.0,N,21.3,1.2,31.0
2019-11-18,W,24.5,2.4,41.0,E,24.0,12.5,35.0,WSW,16.2,3.9,72.0
2019-11-19,SSE,20.4,6.8,35.0,E,24.2,15.0,28.0,WSW,12.7,1.0,39.0
2019-11-20,NE,29.7,6.8,48.0,SW,24.4,15.2,17.0,N,16.3,-2.4,31.0
2019-11-21,NNW,35.3,17.4,94.0,SW,24.4,15.8,13.0,W,21.5,-1.1,52.0
2019-11-22,S,19.7,7.6,35.0,N,28.9,16.2,33.0,W,15.0,7.8,37.0
2019-11-23,W,19.5,4.9,44.0,NE,27.6,15.0,44.0,SSW,16.0,-1.8,35.0
2019-11-24,N,23.7,3.8,28.0,N,25.5,13.3,43.0,SSE,19.9,-1.3,20.0
2019-11-25,N,24.0,6.4,69.0,WNW,14.3,10.5,43.0,WSW,21.4,0.7,24.0
2019-11-26,SW,13.4,7.3,54.0,SW,16.7,7.0,31.0,SW,19.6,0.7,44.0
2019-11-27,NW,21.8,0.8,46.0,E,19.9,8.0,17.0,NNE,19.6,-1.0,20.0
2019-11-28,SE,23.2,6.3,39.0,NW,23.9,11.2,24.0,NNE,20.0,-0.4,24.0
2019-11-29,SW,21.5,6.7,37.0,SW,25.2,17.3,50.0,ESE,20.4,2.8,20.0
2019-11-30,W,17.1,4.7,35.0,W,9.1,5.3,30.0,N,23.6,1.3,33.0
2019-10-01,N,18.4,0.3,31.0,WSW,11.8,5.3,22.0,W,18.8,0.7,39.0
2019-10-02,N,21.8,7.0,41.0,SE,23.1,8.6,41.0,SW,15.3,2.6,39.0
2019-10-03,NNE,22.9,13.5,44.0,WNW,33.1,12.2,30.0,NNE,19.1,-2.0,24.0
2019-10-04,SW,13.2,7.6,35.0,WNW,36.5,21.1,35.0,WNW,14.5,6.5,35.0
2019-10-05,NNE,20.0,6.7,50.0,SE,20.7,14.9,31.0,N,14.8,-2.3,31.0
2019-10-06,NNW,19.3,12.0,56.0,E,25.9,12.7,28.0,WNW,16.0,1.2,54.0
2019-10-07,None,14.4,6.7,0.0,E,30.9,13.5,28.0,NW,13.1,5.9,39.0
2019-10-08,None,11.2,5.0,0.0,N,28.1,17.8,22.0,NNE,16.7,3.4,44.0
2019-10-09,S,11.0,4.2,35.0,WSW,21.6,14.4,19.0,NNW,12.3,6.3,52.0
2019-10-10,SSE,13.8,6.1,35.0,SW,14.9,9.4,43.0,W,13.0,5.0,46.0
2019-10-11,SE,15.3,5.8,46.0,W,20.9,7.3,20.0,W,11.3,5.9,28.0
2019-10-12,SE,19.0,5.9,41.0,NW,24.0,10.2,31.0,N,11.6,0.5,24.0
2019-10-13,NNE,19.3,8.7,44.0,NW,16.6,14.6,43.0,NNE,18.3,-0.6,48.0
2019-10-14,SSW,23.0,10.1,37.0,SW,16.3,6.2,28.0,W,11.4,6.0,43.0
2019-10-15,S,17.2,7.5,31.0,SW,20.5,6.5,22.0,WNW,11.4,3.2,33.0
2019-10-16,NNW,16.7,9.2,44.0,ESE,23.8,10.3,20.0,W,14.9,5.7,35.0
2019-10-17,W,10.6,5.4,69.0,SSW,26.7,12.6,20.0,N,15.1,8.0,24.0
2019-10-18,NW,17.3,0.5,69.0,W,27.3,12.7,19.0,W,14.0,3.1,44.0
2019-10-19,W,12.7,4.9,56.0,SW,23.5,17.6,30.0,W,13.4,2.3,30.0
2019-10-20,WSW,12.5,4.5,41.0,W,18.8,10.0,20.0,WNW,14.3,2.2,26.0
2019-10-21,SE,17.4,6.8,26.0,SW,20.0,8.5,26.0,W,12.6,0.4,59.0
2019-10-22,SSE,22.8,4.8,20.0,E,18.2,10.3,26.0,SW,11.3,3.9,57.0
2019-10-23,ESE,26.0,4.1,24.0,E,21.5,11.1,26.0,SW,11.0,1.6,37.0
2019-10-24,NNE,29.5,10.6,48.0,E,24.8,10.7,41.0,W,11.9,6.3,43.0
2019-10-25,NW,18.9,11.7,50.0,E,29.4,12.9,28.0,SSE,12.8,0.3,13.0
2019-10-26,W,13.1,5.1,70.0,NW,30.8,19.4,30.0,ENE,13.4,0.0,17.0
2019-10-27,W,14.5,3.2,39.0,ESE,24.0,20.3,22.0,E,15.8,-1.8,17.0
2019-10-28,S,20.3,2.5,24.0,None,30.7,9.1,0.0,S,17.7,0.0,15.0
2019-10-29,N,26.0,6.1,48.0,NE,33.2,14.4,43.0,WSW,18.4,-0.5,28.0
2019-10-30,NNW,29.8,9.3,35.0,ESE,25.6,12.2,20.0,SSW,14.3,4.6,35.0
2019-10-31,N,29.2,13.9,61.0,SE,21.3,13.2,28.0,SW,13.1,-3.1,22.0
2019-09-01,NW,15.9,7.6,65.0,ESE,30.2,11.6,22.0,ESE,13.8,-4.2,24.0
2019-09-02,N,13.6,6.0,43.0,NNE,38.7,13.6,41.0,SW,15.0,-3.7,20.0
2019-09-03,N,18.6,6.2,31.0,E,16.0,11.7,22.0,NNE,12.4,3.8,41.0
2019-09-04,NNW,15.5,3.9,33.0,S,19.1,11.0,22.0,S,12.1,2.0,15.0
2019-09-05,N,16.2,2.6,35.0,ESE,23.3,10.8,24.0,NE,13.7,-3.8,15.0
2019-09-06,W,10.6,4.3,59.0,SE,24.6,11.9,28.0,NE,13.9,-1.5,15.0
2019-09-07,W,9.3,4.2,65.0,ESE,17.8,11.0,26.0,NNE,16.6,-0.4,31.0
2019-09-08,W,10.1,5.1,67.0,E,20.3,7.8,28.0,NNE,18.6,5.0,35.0
2019-09-09,SSW,9.7,3.5,54.0,ESE,29.8,10.0,20.0,W,14.5,8.2,54.0
2019-09-10,W,10.6,3.5,22.0,ESE,25.1,18.7,31.0,W,11.7,6.6,57.0
2019-09-11,N,15.4,-0.6,41.0,ESE,27.1,10.3,37.0,WSW,13.5,6.8,48.0
2019-09-12,N,15.7,7.6,56.0,WNW,36.1,14.7,26.0,WSW,14.7,5.6,31.0
2019-09-13,WNW,16.0,-0.3,35.0,SSW,36.9,20.7,24.0,NNE,12.9,-2.8,15.0
2019-09-14,NNE,16.9,6.8,30.0,E,31.5,16.6,31.0,NE,10.0,-3.3,20.0
2019-09-15,N,16.2,8.5,50.0,NW,31.4,20.0,28.0,NNE,10.4,0.6,13.0
2019-09-16,S,10.3,5.8,50.0,NW,28.9,20.5,22.0,SSW,13.3,-3.3,20.0
2019-09-17,SSE,11.1,0.5,43.0,S,20.9,12.2,24.0,N,11.4,-4.6,15.0
2019-09-18,N,15.0,-0.7,35.0,E,23.0,11.6,26.0,N,11.6,-2.4,26.0
2019-09-19,NNE,19.4,5.0,74.0,E,30.2,13.6,19.0,N,10.8,-0.7,30.0
2019-09-20,NNE,22.4,12.6,67.0,SW,32.7,14.2,19.0,WNW,16.9,-1.9,76.0
2019-09-21,NW,13.9,9.6,54.0,SE,25.3,14.3,26.0,N,13.2,0.2,26.0
2019-09-22,NNW,11.5,0.8,41.0,E,36.4,14.8,22.0,NW,18.1,-0.7,57.0
2019-09-23,WSW,11.4,4.5,43.0,NNE,39.5,22.6,54.0,WNW,11.2,3.4,43.0
2019-09-24,W,10.4,2.1,31.0,SSW,27.0,14.6,26.0,W,10.1,-1.0,30.0
2019-09-25,WSW,13.4,3.4,28.0,NW,23.7,12.7,19.0,NNE,12.3,3.1,19.0
2019-09-26,NNW,16.5,1.1,35.0,NW,31.6,12.1,20.0,NNE,11.8,-3.3,35.0
2019-09-27,SW,14.8,6.1,56.0,NW,31.9,14.9,28.0,NW,16.2,1.8,59.0
2019-09-28,SSE,12.4,2.0,28.0,N,35.7,15.6,44.0,W,14.2,7.5,28.0
2019-09-29,SW,12.5,4.7,35.0,SSW,19.6,12.9,33.0,NNE,13.1,2.7,17.0
2019-09-30,S,12.4,5.8,41.0,N,26.4,8.6,44.0,N,16.5,3.6,20.0
2019-08-01,SSW,10.3,4.1,31.0,WSW,15.8,8.8,48.0,NNE,17.5,4.9,24.0
2019-08-02,W,9.7,5.6,26.0,WSW,18.0,7.1,28.0,WNW,14.3,7.1,61.0
2019-08-03,WSW,10.0,6.1,39.0,SW,15.6,9.3,26.0,WNW,9.9,2.7,24.0
2019-08-04,WSW,9.8,5.6,17.0,E,22.6,8.5,19.0,NW,14.8,6.0,61.0
2019-08-05,N,11.7,3.5,43.0,NNE,30.4,13.1,31.0,W,15.4,-2.3,17.0
2019-08-06,N,10.2,5.2,54.0,NNE,31.7,21.6,48.0,S,17.0,-2.3,28.0
2019-08-07,NNE,10.8,4.5,35.0,NE,26.5,20.1,19.0,NE,17.3,0.8,13.0
2019-08-08,N,8.9,2.8,67.0,NW,18.2,12.3,20.0,SSE,17.9,1.1,15.0
2019-08-09,WNW,6.1,2.7,80.0,ESE,19.9,11.7,20.0,SE,16.9,-0.8,15.0
2019-08-10,W,9.0,0.1,54.0,E,23.2,9.6,22.0,NNE,18.9,-1.4,35.0
2019-08-11,SW,9.8,0.3,52.0,NE,28.0,14.2,33.0,N,18.2,0.9,43.0
2019-08-12,SSW,8.3,1.6,33.0,SW,16.7,15.9,35.0,WNW,11.1,5.5,35.0
2019-08-13,WSW,9.2,4.1,24.0,NE,20.1,13.1,33.0,N,13.9,10.2,17.0
2019-08-14,NNW,8.0,4.8,44.0,NW,21.4,13.6,33.0,SW,16.3,1.0,11.0
2019-08-15,N,11.4,1.3,46.0,NNE,19.4,13.1,33.0,N,16.4,0.4,30.0
2019-08-16,N,11.6,4.3,56.0,SW,20.1,12.4,17.0,NW,13.8,5.5,31.0
2019-08-17,NNE,12.3,0.4,43.0,SE,19.8,11.3,20.0,N,11.3,8.1,30.0
2019-08-18,W,10.4,3.9,81.0,E,25.0,12.5,19.0,N,12.2,5.9,35.0
2019-08-19,WSW,8.3,1.7,50.0,S,20.3,14.3,24.0,WNW,12.1,7.6,56.0
2019-08-20,W,12.8,2.8,52.0,E,18.6,10.9,39.0,WNW,9.5,6.0,46.0
2019-08-21,W,12.7,7.6,63.0,SSW,15.8,9.3,24.0,WSW,11.7,4.2,39.0
2019-08-22,SW,10.4,7.0,67.0,S,23.1,8.5,15.0,SW,14.5,0.7,39.0
2019-08-23,NNE,11.9,-1.5,52.0,NW,29.0,13.3,28.0,SSW,14.7,-1.1,20.0
2019-08-24,WSW,14.3,3.3,63.0,ESE,27.4,14.9,22.0,SW,14.6,-0.9,11.0
2019-08-25,WSW,9.2,2.0,41.0,SE,27.9,9.9,15.0,SSE,14.6,-1.3,11.0
2019-08-26,WSW,11.6,1.0,26.0,WNW,34.7,16.6,30.0,NNE,13.0,-1.7,13.0
2019-08-27,W,12.4,3.6,31.0,NW,32.3,21.7,31.0,WSW,12.3,-1.7,19.0
2019-08-28,SSW,8.6,2.4,44.0,SW,21.1,17.3,31.0,WSW,13.7,-0.3,20.0
2019-08-29,SSE,9.6,0.5,44.0,SE,18.5,15.4,19.0,SSW,13.0,-3.9,11.0
2019-08-30,ESE,14.1,0.5,28.0,SE,25.2,11.9,26.0,ENE,13.9,-4.0,15.0
2019-08-31,NNE,15.2,1.8,56.0,N,28.9,11.5,33.0,NNW,15.7,0.5,15.0
2019-07-01,N,8.4,4.6,59.0,NNW,25.4,18.7,44.0,NE,12.6,3.8,22.0
2019-07-02,N,10.1,3.5,44.0,W,17.4,7.6,41.0,NNE,10.0,4.3,20.0
2019-07-03,SE,10.9,4.7,31.0,NW,20.2,5.5,31.0,N,11.0,6.2,28.0
2019-07-04,SE,12.3,6.5,43.0,NW,23.4,11.3,35.0,NNE,24.4,0.7,26.0
2019-07-05,N,13.8,2.2,39.0,NE,18.5,13.1,33.0,N,23.4,7.0,28.0
2019-07-06,N,14.7,5.4,46.0,SW,12.9,6.4,35.0,NW,28.2,3.1,67.0
2019-07-07,N,13.8,8.2,50.0,SW,13.7,4.0,24.0,WNW,16.5,12.1,52.0
2019-07-08,W,11.8,5.0,35.0,W,15.4,6.1,31.0,SW,16.8,2.1,19.0
2019-07-09,NW,11.5,2.4,35.0,WSW,17.5,7.7,20.0,NNE,19.8,3.0,17.0
2019-07-10,NW,12.3,4.2,96.0,SW,21.3,7.6,20.0,N,20.9,2.0,31.0
2019-07-11,WSW,10.1,4.4,57.0,NE,24.2,10.8,20.0,NNW,21.3,3.0,19.0
2019-07-12,NNW,10.8,5.3,57.0,N,25.1,20.6,44.0,N,20.0,1.7,26.0
2019-07-13,WSW,7.5,2.8,54.0,NNW,13.9,12.9,17.0,WSW,13.4,8.6,59.0
2019-07-14,W,9.2,2.8,72.0,ESE,14.3,8.3,30.0,ESE,13.1,3.3,20.0
2019-07-15,SSW,10.5,6.1,57.0,E,16.7,4.6,37.0,SSW,18.1,3.1,50.0
2019-07-16,W,9.3,6.9,39.0,E,16.8,6.3,28.0,S,20.0,7.6,35.0
2019-07-17,WSW,10.3,5.9,54.0,E,22.9,7.3,26.0,WSW,19.8,0.7,19.0
2019-07-18,NNW,10.4,4.0,44.0,NE,25.9,15.1,33.0,SW,17.7,-1.1,31.0
2019-07-19,NNW,11.4,5.4,39.0,NE,23.0,19.4,44.0,SSW,16.3,-0.3,20.0
2019-07-20,N,12.0,5.1,63.0,WSW,17.9,8.7,35.0,SW,15.1,-2.2,31.0
2019-07-21,NNE,13.0,6.1,61.0,WSW,13.5,5.9,41.0,NW,13.6,4.3,15.0
2019-07-22,N,12.7,3.1,72.0,WSW,10.2,7.0,41.0,SW,13.7,4.8,20.0
2019-07-23,N,10.7,5.9,72.0,WSW,12.2,8.0,33.0,WSW,14.2,2.4,30.0
2019-07-24,WNW,11.2,2.1,33.0,SE,15.1,8.5,19.0,SSW,17.0,9.5,44.0
2019-07-25,N,10.9,5.6,43.0,E,17.3,8.1,19.0,SW,18.3,10.4,44.0
2019-07-26,NNE,10.3,6.2,39.0,E,19.4,9.3,26.0,SW,18.3,5.6,33.0
2019-07-27,N,10.3,3.7,26.0,SE,18.8,10.8,39.0,WSW,17.9,0.3,20.0
2019-07-28,NW,9.9,-1.4,22.0,SSW,18.1,10.2,28.0,SSW,18.5,-0.2,13.0
2019-07-29,SSW,11.5,3.9,30.0,S,19.0,8.7,20.0,NNE,20.1,-0.1,20.0
2019-07-30,S,9.0,4.7,35.0,NNW,19.1,5.0,30.0,SSE,18.8,2.0,11.0
2019-07-31,SE,11.5,4.1,37.0,NNE,20.3,10.6,39.0,NNE,20.9,3.6,24.0
2019-06-01,SSE,12.3,8.4,33.0,NNE,15.1,12.9,44.0,WSW,15.7,4.5,24.0
2019-06-02,WSW,9.7,6.1,50.0,ESE,11.4,5.8,41.0,WSW,14.5,3.5,31.0
2019-06-03,S,9.4,4.7,67.0,E,16.1,5.9,39.0,SSW,15.8,7.6,44.0
2019-06-04,None,8.3,4.6,0.0,NW,20.1,7.8,24.0,NNE,27.0,5.9,28.0
2019-06-05,S,8.7,5.4,39.0,E,21.4,12.9,19.0,SSW,27.9,9.6,43.0
2019-06-06,SSW,11.2,6.4,28.0,E,23.2,13.8,19.0,SSE,27.3,6.7,24.0
2019-06-07,N,13.4,6.0,31.0,SE,14.8,11.7,30.0,NNW,29.8,6.1,20.0
2019-06-08,NNE,13.5,1.9,41.0,E,10.9,5.6,67.0,WNW,31.5,9.6,41.0
2019-06-09,N,13.5,4.7,44.0,None,10.05,4.2,0.0,WSW,28.2,2.9,31.0
2019-06-10,N,14.5,6.3,70.0,WSW,9.2,6.0,28.0,W,26.9,3.3,28.0
2019-06-11,NNE,13.9,4.1,57.0,S,9.0,2.4,20.0,NNE,28.8,4.0,22.0
2019-06-12,NNW,12.5,8.4,63.0,E,12.6,3.1,20.0,SSW,31.3,8.7,37.0
2019-06-13,NNW,12.8,1.8,46.0,ENE,15.8,5.0,17.0,ENE,29.5,10.2,20.0
2019-06-14,NNW,11.3,5.7,44.0,NE,15.8,8.9,39.0,ENE,33.7,13.3,24.0
2019-06-15,NW,12.4,3.0,24.0,NNE,14.9,9.6,46.0,NW,33.6,15.1,69.0
2019-06-16,NNE,12.1,5.0,28.0,SW,11.5,4.7,20.0,N,29.1,7.0,37.0
2019-06-17,N,10.8,2.3,39.0,NW,12.6,4.6,33.0,NW,17.3,11.2,80.0
2019-06-18,WSW,8.1,4.8,50.0,WNW,12.6,7.7,24.0,WNW,18.8,10.9,48.0
2019-06-19,SW,9.4,0.7,24.0,SW,13.4,8.3,22.0,WNW,21.8,13.0,37.0
2019-06-20,SW,8.7,-0.8,28.0,NNE,18.6,9.4,52.0,SSW,22.3,7.0,28.0
2019-06-21,S,9.7,1.3,37.0,SW,14.1,6.4,31.0,N,24.5,3.2,26.0
2019-06-22,S,9.1,1.5,28.0,NW,15.4,4.3,24.0,NNE,25.5,9.4,22.0
2019-06-23,SE,10.7,0.9,31.0,NE,17.5,9.1,59.0,ESE,27.5,6.9,20.0
2019-06-24,N,11.3,-2.5,28.0,NNE,9.8,8.0,76.0,NW,26.9,5.8,19.0
2019-06-25,N,12.3,0.5,48.0,NW,10.5,0.9,22.0,SW,26.9,5.9,24.0
2019-06-26,N,13.6,-0.5,33.0,N,13.3,3.4,39.0,NNE,27.4,5.0,26.0
2019-06-27,NNE,12.6,4.9,52.0,N,15.5,8.9,46.0,N,28.5,6.5,22.0
2019-06-28,N,14.6,7.3,57.0,WSW,11.9,3.8,28.0,SW,25.5,10.8,31.0
2019-06-29,N,11.2,9.3,107.0,NW,13.2,2.4,19.0,SSW,21.6,4.6,44.0
2019-06-30,NNW,9.5,3.8,48.0,NW,15.2,5.8,20.0,S,22.8,4.0,20.0
